Day Ahead Market ExPost LMPs,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,All Hours-Ending are Eastern Standard Time (EST),,,,,,,,,,,,,,,,,,,,,,,
Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
AECI,Interface,LMP,41.01,39.18,42.98,43.95,47.23,51.04,71.14,88.56,83.25,72.99,63.58,58.39,56.96,56.61,57.22,58.85,69.44,79.55,82.57,77.43,62.92,56.55,48.75,43.01
AECI.ALTW,Loadzone,LMP,52.96,48.38,47.59,48.51,51.41,56.47,83.62,106.6,98.48,83.89,72.69,64.66,62.81,62.27,65.1,66.26,81.38,94,95.92,88.03,72.57,64.11,55.54,51.89
AECI.AMMO,Loadzone,LMP,48.53,45.51,48.2,49.2,52.13,57.03,84.62,105.46,99.45,84.4,73.46,65.14,62.99,62.16,65.3,66.25,81.31,93.62,95.62,87.63,73.06,66.29,59.02,55.8
AECI.APM_1.AZ,Hub,LMP,48.29,45.34,48.2,49.22,52.17,57.11,84.79,105.63,99.72,84.63,73.62,65.3,63.16,62.32,65.39,66.33,81.4,93.74,95.76,87.76,73.12,66.29,59.03,55.8
ILLINOIS.HUB,Hub,LMP,49.84,46.74,47.6,48.17,50.15,55.03,79.54,99.72,95.52,80.82,71.27,62.71,60.44,59.85,64.56,63.79,80.87,90.4,91.82,84.15,73.14,66.22,55.5,52.94
INDIANA.HUB,Hub,LMP,50.86,48.01,49.38,49.98,51.98,55.88,82.48,102.64,96.23,81.41,71.78,63.14,60.86,60.26,65.06,65.77,81.51,93.38,94.83,86.9,73.75,68.27,60.93,57.65
MICHIGAN.HUB,Hub,LMP,52.18,48.8,49.61,50.2,52.47,55.91,83,103.25,96.04,81.28,71.66,63.01,60.75,60.17,64.95,66.05,81.43,93.62,95.07,87.12,73.71,67.93,58.9,55.91
MINN.HUB,Hub,LMP,46.29,43.24,40.85,40.72,42.24,50.59,63.08,79.81,70.22,71.87,67.77,54.7,51.13,50.82,62.13,62.73,77.64,90.39,90.16,82.97,69.24,68.65,69.13,61.58
NIPS.AM,Loadzone,LMP,50.84,47.93,48.71,49.2,51.18,55.48,80.84,101.16,95.66,80.95,71.41,62.83,60.54,59.94,64.7,64.65,81.01,91.64,93.07,85.31,73.39,67.12,57.98,55.02
NIPS.AZ,Hub,LMP,50.77,47.87,48.64,49.08,51.06,55.38,80.35,100.59,95.1,80.49,71.03,62.5,60.22,59.62,64.34,64.3,80.53,91.09,92.51,84.82,73.01,66.81,57.72,54.76
NIPS.BAILY.ARR,Hub,LMP,50.45,47.47,48.25,48.83,50.92,55.59,79.23,99.21,94.1,79.67,70.33,61.9,59.63,59.03,63.69,63.45,79.67,89.85,91.25,83.69,72.32,65.91,56.89,54.03
ILLINOIS.HUB,Hub,MCC,-0.49,-0.08,0,0,0,0,0,-0.05,0.12,0.11,0.1,0.11,0.11,0.1,0.06,0.06,0.06,0.08,0.09,0.09,0.03,0,0,0
INDIANA.HUB,Hub,MCC,-1.31,-0.57,0,0,0,0,0,-0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MICHIGAN.HUB,Hub,MCC,-0.48,-0.01,0,0,0,0,-0.05,0.11,0.21,0.21,0.18,0.13,0.14,0.15,0.15,0.16,0.26,0.35,0.36,0.32,0.27,0.02,0,0
MINN.HUB,Hub,MCC,-9.43,-7.32,-10.53,-11.27,-13.27,-13.41,-23.38,-27.4,-28.38,-11.55,-5.79,-10.01,-11.24,-10.93,-4.54,-5.76,-5.88,-6.76,-8.51,-7.45,-6.34,-0.53,4.67,1.82
ILLINOIS.HUB,Hub,MLC,-2.07,-1.38,-1.38,-1.4,-2.04,-2.02,-2.53,-2.63,-0.59,-0.51,-0.45,-0.4,-0.39,-0.38,-0.42,-1.72,-0.52,-2.6,-2.62,-2.38,-0.45,-0.98,-4.35,-3.64
INDIANA.HUB,Hub,MLC,-0.23,0.38,0.4,0.41,-0.21,-1.17,0.41,0.56,0.24,0.19,0.16,0.14,0.14,0.13,0.14,0.32,0.18,0.46,0.48,0.46,0.19,1.07,1.08,1.07
MICHIGAN.HUB,Hub,MLC,0.26,0.61,0.63,0.63,0.28,-1.14,0.98,0.74,-0.16,-0.15,-0.14,-0.12,-0.11,-0.11,-0.12,0.44,-0.16,0.35,0.36,0.36,-0.12,0.71,-0.95,-0.67
MINN.HUB,Hub,MLC,3.32,2.36,2.4,2.42,3.32,6.95,4.39,4.81,2.61,2.2,1.94,1.71,1.65,1.62,1.75,3.04,2.19,4.23,4.32,3.98,2.02,1.98,4.61,3.18
