Day Ahead Market ExPost LMPs
03/08/2026
,,,All Hours-Ending are Eastern Standard Time (EST)
Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
AECI,Interface,LMP,7.2,8.44,8.13,9.02,8.43,10.98,17.43,20.99,18.28,16,16.73,15.39,14.08,9.33,4.06,.74,3.56,13.18,24.96,20.4,15.31,9.64,7.69,7.25
AECI.ALTW,Loadzone,LMP,12.13,11.97,12.34,12.19,11.7,12.67,17.18,20.44,18.02,16.7,17.27,15.83,14.23,10.46,5.33,2.15,4.33,15.05,28.36,23.41,17.06,10.95,9.2,6.52
AECI.AMMO,Loadzone,LMP,20.93,21.04,21.29,22.18,21.14,22.24,24.72,27.24,23.96,20.07,19.46,17.39,15.99,13.03,9.69,8.41,12,24.48,42.98,40.47,29.63,22.91,21.48,19.27
AECI.APM_1.AZ,Hub,LMP,21.16,21.24,21.46,22.3,21.25,22.31,24.88,27.25,23.97,20.02,19.43,17.37,15.97,13.07,9.82,8.61,12.21,24.67,43.44,40.85,29.89,23.18,21.75,19.49
ILLINOIS.HUB,Hub,LMP,32.8,30.7,28.85,25.44,24.46,21.89,24.1,23.02,20.45,18.03,18.04,16.94,15.11,12.52,9.34,7.59,9.84,22.31,37.13,33.89,25.11,18.95,16.86,13.68
INDIANA.HUB,Hub,LMP,32.74,32.36,31.22,30.51,28.91,29.7,32.31,31.54,27.59,22.7,21.18,19.78,17.78,15.1,14.1,14.03,18.86,36.18,51.33,50.46,36.55,29.65,28.73,26.96
MICHIGAN.HUB,Hub,LMP,32.83,32.69,31.27,30.91,29.26,30.53,34.33,33.59,29.27,23.25,21.33,20.88,18.31,15.66,15,15.15,20.2,37.68,53.14,52.31,37.93,31.06,30.62,29.08
MINN.HUB,Hub,LMP,17.57,16.4,17.03,16.27,17.59,18.1,21.91,23.18,20.58,16.57,16.93,16.57,12.8,7.26,3.32,.05,4.89,17.93,30.47,30.63,26.08,20.36,18.27,16.25
NIPS.AM,Loadzone,LMP,49.59,52.53,49.07,51.96,47.68,56.26,57.45,53.16,45.08,32.61,25.11,23.7,21.71,16.7,21.51,25.51,38.56,64.22,79.86,82.01,58.6,53.47,55.35,60.99
NIPS.AZ,Hub,LMP,49.68,52.63,49.17,52.07,47.78,56.4,57.58,53.27,45.17,32.67,25.13,23.72,21.73,16.71,21.55,25.57,38.66,64.37,80.01,82.17,58.71,53.59,55.49,61.17
NIPS.BAILY.ARR,Hub,LMP,48.31,51.07,47.78,50.43,46.34,54.37,55.62,51.53,43.69,31.17,24.51,23.15,21.11,16.44,21.12,25,37.45,62.11,77.82,79.68,56.81,51.85,53.42,58.6
ILLINOIS.HUB,Hub,MCC,9.69,8.14,6.4,3.25,3,.1,-1.44,-2.99,-2.48,-1.39,-.72,-.92,-.86,-1.42,-2.85,-3.86,-4.77,-5.78,-6.73,-7.94,-5.79,-5.79,-6.15,-6.7
INDIANA.HUB,Hub,MCC,7.88,7.84,6.87,6.43,5.64,6.07,4.65,3.42,2.8,1.56,.75,.65,.68,.16,.98,1.63,3.03,5.76,4.78,4.81,3.09,3.41,3.8,4.87
MICHIGAN.HUB,Hub,MCC,7.78,8.15,7,6.91,6.06,7.16,6.33,4.9,3.98,2.2,1.02,1.49,.98,.52,1.78,2.69,4.49,7.12,6.64,6.96,4.6,5,5.59,7.15
MINN.HUB,Hub,MCC,-7.2,-6.37,-5.6,-6.11,-4.05,-4.18,-3.19,-2.64,-2.18,-2.15,-1.31,-2.04,-3.84,-7.27,-9.76,-11.23,-10.11,-9.75,-12.53,-8.72,-2.52,-3.58,-4.41,-4.68
ILLINOIS.HUB,Hub,MLC,-1.24,-1.3,-1.26,-1.25,-1.2,-1.28,-.78,-.88,-.79,-.69,-.68,-.92,-.82,-.73,-.67,-.55,-.87,-1.33,-1.65,-1.23,-.59,-.85,-1.06,-1.19
INDIANA.HUB,Hub,MLC,.51,.66,.64,.64,.61,.56,1.34,1.23,1.07,1.03,.99,.35,.31,.27,.26,.4,.35,1,1.04,2.59,1.97,.65,.86,.52
MICHIGAN.HUB,Hub,MLC,.7,.68,.56,.56,.54,.3,1.68,1.8,1.57,.94,.87,.61,.54,.47,.36,.46,.23,1.14,.99,2.29,1.84,.47,.96,.36
MINN.HUB,Hub,MLC,.42,-1.09,-1.08,-1.06,-1.02,-.79,-1.22,-1.07,-.96,-1.39,-1.2,-.17,-.15,-.14,.22,-.72,-.48,-1.74,-2.51,-3.71,-2.89,-1.65,-1.39,-.64
