Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
09/23/2026 00:00,CAPITL,61757,34.97,1.15,0.00
09/23/2026 00:00,CENTRL,61754,33.55,-0.27,0.00
09/23/2026 00:00,DUNWOD,61760,35.68,1.86,0.00
09/23/2026 00:00,GENESE,61753,32.23,-1.59,0.00
09/23/2026 00:00,H Q,61844,33.72,-0.10,0.00
09/23/2026 00:00,HUD VL,61758,35.45,1.62,0.00
09/23/2026 00:00,LONGIL,61762,36.43,2.60,0.00
09/23/2026 00:00,MHK VL,61756,34.94,1.11,0.00
09/23/2026 00:00,MILLWD,61759,35.58,1.76,0.00
09/23/2026 00:00,N.Y.C.,61761,35.82,1.99,-0.01
09/23/2026 00:00,NORTH,61755,33.96,0.14,0.00
09/23/2026 00:00,NPX,61845,35.14,1.32,0.00
09/23/2026 00:00,O H,61846,30.68,-3.14,0.00
09/23/2026 00:00,PJM,61847,30.30,-0.40,3.12
09/23/2026 00:00,WEST,61752,30.71,-3.11,0.00
09/23/2026 01:00,CAPITL,61757,31.05,0.96,0.00
09/23/2026 01:00,CENTRL,61754,29.85,-0.24,0.00
09/23/2026 01:00,DUNWOD,61760,31.68,1.59,0.00
09/23/2026 01:00,GENESE,61753,28.79,-1.29,0.00
09/23/2026 01:00,H Q,61844,30.00,-0.09,0.00
09/23/2026 01:00,HUD VL,61758,31.47,1.38,0.00
09/23/2026 01:00,LONGIL,61762,32.19,2.11,0.00
09/23/2026 01:00,MHK VL,61756,31.05,0.96,0.00
09/23/2026 01:00,MILLWD,61759,31.59,1.50,0.00
09/23/2026 01:00,N.Y.C.,61761,31.78,1.68,-0.01
09/23/2026 01:00,NORTH,61755,30.24,0.15,0.00
09/23/2026 01:00,NPX,61845,31.73,1.14,-0.50
09/23/2026 01:00,O H,61846,27.50,-2.59,0.00
09/23/2026 01:00,PJM,61847,26.20,-0.33,3.56
09/23/2026 01:00,WEST,61752,27.62,-2.47,0.00
09/23/2026 02:00,CAPITL,61757,30.18,0.94,0.00
09/23/2026 02:00,CENTRL,61754,29.01,-0.23,0.00
09/23/2026 02:00,DUNWOD,61760,30.74,1.49,0.00
09/23/2026 02:00,GENESE,61753,27.96,-1.29,0.00
09/23/2026 02:00,H Q,61844,29.19,-0.06,0.00
09/23/2026 02:00,HUD VL,61758,30.56,1.32,0.00
09/23/2026 02:00,LONGIL,61762,31.17,1.93,0.00
09/23/2026 02:00,MHK VL,61756,30.15,0.91,0.00
09/23/2026 02:00,MILLWD,61759,30.65,1.40,0.00
09/23/2026 02:00,N.Y.C.,61761,30.85,1.61,0.00
09/23/2026 02:00,NORTH,61755,29.45,0.21,0.00
09/23/2026 02:00,NPX,61845,30.33,1.08,0.00
09/23/2026 02:00,O H,61846,26.73,-2.52,0.00
09/23/2026 02:00,PJM,61847,24.00,-0.53,4.72
09/23/2026 02:00,WEST,61752,26.82,-2.43,0.00
09/23/2026 03:00,CAPITL,61757,29.63,0.92,0.00
09/23/2026 03:00,CENTRL,61754,28.51,-0.20,0.00
09/23/2026 03:00,DUNWOD,61760,30.17,1.46,0.00
09/23/2026 03:00,GENESE,61753,27.53,-1.18,0.00
09/23/2026 03:00,H Q,61844,28.65,-0.06,0.00
09/23/2026 03:00,HUD VL,61758,29.97,1.26,0.00
09/23/2026 03:00,LONGIL,61762,30.55,1.84,0.00
09/23/2026 03:00,MHK VL,61756,29.60,0.89,0.00
09/23/2026 03:00,MILLWD,61759,30.06,1.35,0.00
09/23/2026 03:00,N.Y.C.,61761,30.31,1.61,0.00
09/23/2026 03:00,NORTH,61755,28.91,0.20,0.00
09/23/2026 03:00,NPX,61845,29.74,1.03,0.00
09/23/2026 03:00,O H,61846,26.27,-2.44,0.00
09/23/2026 03:00,PJM,61847,21.94,-0.52,6.25
09/23/2026 03:00,WEST,61752,26.33,-2.38,0.00
09/23/2026 04:00,CAPITL,61757,30.13,0.96,0.00
09/23/2026 04:00,CENTRL,61754,28.97,-0.20,0.00
09/23/2026 04:00,DUNWOD,61760,30.66,1.49,0.00
09/23/2026 04:00,GENESE,61753,27.89,-1.28,0.00
09/23/2026 04:00,H Q,61844,29.11,-0.06,0.00
09/23/2026 04:00,HUD VL,61758,30.45,1.28,0.00
09/23/2026 04:00,LONGIL,61762,31.04,1.87,0.00
09/23/2026 04:00,MHK VL,61756,30.16,0.99,0.00
09/23/2026 04:00,MILLWD,61759,30.57,1.40,0.00
09/23/2026 04:00,N.Y.C.,61761,30.80,1.63,0.00
09/23/2026 04:00,NORTH,61755,29.35,0.18,0.00
09/23/2026 04:00,NPX,61845,30.25,1.08,0.00
09/23/2026 04:00,O H,61846,26.63,-2.54,0.00
09/23/2026 04:00,PJM,61847,22.00,-0.52,6.65
09/23/2026 04:00,WEST,61752,26.72,-2.45,0.00
09/23/2026 05:00,CAPITL,61757,33.28,1.06,0.00
09/23/2026 05:00,CENTRL,61754,32.12,-0.10,0.00
09/23/2026 05:00,DUNWOD,61760,33.79,1.58,0.00
09/23/2026 05:00,GENESE,61753,30.99,-1.22,0.00
09/23/2026 05:00,H Q,61844,32.93,-0.06,-0.78
09/23/2026 05:00,HUD VL,61758,33.60,1.38,0.00
09/23/2026 05:00,LONGIL,61762,34.05,1.84,0.00
09/23/2026 05:00,MHK VL,61756,33.37,1.16,0.00
09/23/2026 05:00,MILLWD,61759,33.70,1.48,0.00
09/23/2026 05:00,N.Y.C.,61761,33.92,1.71,0.00
09/23/2026 05:00,NORTH,61755,32.41,0.19,0.00
09/23/2026 05:00,NPX,61845,34.05,1.06,-0.78
09/23/2026 05:00,O H,61846,30.35,-2.64,-0.78
09/23/2026 05:00,PJM,61847,25.20,-0.55,6.47
09/23/2026 05:00,WEST,61752,29.70,-2.51,0.00
09/23/2026 06:00,CAPITL,61757,43.27,1.50,0.00
09/23/2026 06:00,CENTRL,61754,41.53,-0.25,-0.01
09/23/2026 06:00,DUNWOD,61760,43.86,2.09,0.00
