Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
03/08/2026 01:00:00,03/08/2026 07:00:00,AEC,SOUC,21.4210,0.6180,-1.0051,21.8081
03/08/2026 01:00:00,03/08/2026 07:00:00,CSWS_HUB,CSWS_HUB_H,22.6972,0.6641,0.2249,21.8082
03/08/2026 01:00:00,03/08/2026 07:00:00,SPPNORTH_HUB,SPPNORTH_H,14.9946,-0.9862,-5.8273,21.8081
03/08/2026 01:00:00,03/08/2026 07:00:00,SPPSOUTH_HUB,SPPSOUTH_H,23.2542,0.1911,1.2549,21.8082
03/08/2026 03:00:00,03/08/2026 08:00:00,AEC,SOUC,19.4819,0.8267,0.4443,18.2109
03/08/2026 03:00:00,03/08/2026 08:00:00,CSWS_HUB,CSWS_HUB_H,20.3382,0.5833,1.5440,18.2109
03/08/2026 03:00:00,03/08/2026 08:00:00,SPPNORTH_HUB,SPPNORTH_H,13.3278,-0.5367,-4.3464,18.2109
03/08/2026 03:00:00,03/08/2026 08:00:00,SPPSOUTH_HUB,SPPSOUTH_H,23.0051,-0.3640,5.1583,18.2108
03/08/2026 04:00:00,03/08/2026 09:00:00,AEC,SOUC,18.5691,0.7462,0.3210,17.5019
03/08/2026 04:00:00,03/08/2026 09:00:00,CSWS_HUB,CSWS_HUB_H,18.8034,0.7739,0.5276,17.5019
03/08/2026 04:00:00,03/08/2026 09:00:00,SPPNORTH_HUB,SPPNORTH_H,12.8721,-0.7857,-3.8441,17.5019
03/08/2026 04:00:00,03/08/2026 09:00:00,SPPSOUTH_HUB,SPPSOUTH_H,19.4816,0.1094,1.8703,17.5019
03/08/2026 05:00:00,03/08/2026 10:00:00,SPPNORTH_HUB,SPPNORTH_H,12.3181,-0.7350,-2.6734,15.7265
03/08/2026 05:00:00,03/08/2026 10:00:00,SPPSOUTH_HUB,SPPSOUTH_H,20.6838,0.1153,4.8421,15.7264
03/08/2026 06:00:00,03/08/2026 11:00:00,SPPNORTH_HUB,SPPNORTH_H,12.2304,-0.6765,-3.0933,16.0002
