Interval,GMTIntervalEnd,BAA,Settlement Location,Pnode,LMP,MLC,MCC,MEC
04/12/2026 01:00:00,04/12/2026 06:00:00,SPP,AEC,SOUC,0.4506,-0.5723,13.4712,-12.4483
04/12/2026 01:00:00,04/12/2026 06:00:00,SWPW,AESO,AESO,20.3992,-0.4985,-0.0001,20.8978
04/12/2026 01:00:00,04/12/2026 06:00:00,SWPW,AVA,AVA,20.4006,-0.4970,-0.0002,20.8978
04/12/2026 01:00:00,04/12/2026 06:00:00,SWPW,AVRN,AVRN,20.4397,-0.4591,0.0010,20.8978
04/12/2026 01:00:00,04/12/2026 06:00:00,SPP,CSWS_HUB,CSWS_HUB_H,-9.1855,-0.0039,3.2667,-12.4483
04/12/2026 01:00:00,04/12/2026 06:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,-15.8917,0.1048,-3.5482,-12.4483
04/12/2026 01:00:00,04/12/2026 06:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,-25.0100,0.8087,-13.3704,-12.4483
04/12/2026 02:00:00,04/12/2026 07:00:00,SPP,AEC,SOUC,-4.3180,-0.6686,11.6109,-15.2603
04/12/2026 02:00:00,04/12/2026 07:00:00,SPP,CSWS_HUB,CSWS_HUB_H,-16.3501,0.0303,-1.1201,-15.2603
04/12/2026 02:00:00,04/12/2026 07:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,-18.7217,0.1022,-3.5636,-15.2603
04/12/2026 02:00:00,04/12/2026 07:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,-25.8967,1.0572,-11.6936,-15.2603
04/12/2026 03:00:00,04/12/2026 08:00:00,SPP,AEC,SOUC,-3.5597,-0.5640,10.1346,-13.1303
04/12/2026 03:00:00,04/12/2026 08:00:00,SPP,CSWS_HUB,CSWS_HUB_H,-15.8939,0.0311,-2.7947,-13.1303
04/12/2026 03:00:00,04/12/2026 08:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,-18.8199,0.1459,-5.8355,-13.1303
04/12/2026 03:00:00,04/12/2026 08:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,-25.6865,0.9433,-13.4995,-13.1303
04/12/2026 04:00:00,04/12/2026 09:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,-18.3762,0.1598,-4.1623,-14.3737
04/12/2026 04:00:00,04/12/2026 09:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,-26.4227,1.0326,-13.0816,-14.3737
04/12/2026 05:00:00,04/12/2026 10:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,-18.2562,0.1061,-3.7675,-14.5948
04/12/2026 05:00:00,04/12/2026 10:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,-25.0100,1.0640,-11.4792,-14.5948
04/12/2026 06:00:00,04/12/2026 11:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,-15.8498,0.1304,-2.7212,-13.2590
04/12/2026 06:00:00,04/12/2026 11:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,-24.3112,0.8997,-11.9520,-13.2589
04/12/2026 07:00:00,04/12/2026 12:00:00,SPP,SPPNORTH_HUB,SPPNORTH_H,-14.4461,0.0959,-5.3112,-9.2308
04/12/2026 07:00:00,04/12/2026 12:00:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,-19.3669,0.5756,-10.7118,-9.2307
