INTERVAL,GMTINTERVALEND,BAA,SETTLEMENT_LOCATION,PNODE,LMP,MLC,MCC,MEC
6/4/2026 1:00,6/4/2026 6:00,SPP,AEC,SOUC,16.9072,0.5466,3.5415,12.8191
6/4/2026 1:00,6/4/2026 6:00,SWPW,AESO,AESO,20.2198,-0.0061,-0.002,20.2279
6/4/2026 1:00,6/4/2026 6:00,SWPW,AVA,AVA,20.2211,-0.0046,-0.0021,20.2278
6/4/2026 1:00,6/4/2026 6:00,SWPW,AVRN,AVRN,20.2735,0.0468,-0.0012,20.2279
6/4/2026 1:00,6/4/2026 6:00,SPP,CSWS_HUB,CSWS_HUB_H,13.5514,0.1938,0.5385,12.8191
6/4/2026 1:00,6/4/2026 6:00,SPP,SPPNORTH_HUB,SPPNORTH_H,11.7363,-0.0685,-1.0142,12.819
6/4/2026 1:00,6/4/2026 6:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,12.6848,-0.1347,0.0005,12.819
6/4/2026 2:00,6/4/2026 7:00,SPP,AEC,SOUC,12.3149,0.4197,2.7545,9.1407
6/4/2026 2:00,6/4/2026 7:00,SPP,CSWS_HUB,CSWS_HUB_H,9.354,0.1721,0.0413,9.1406
6/4/2026 2:00,6/4/2026 7:00,SPP,SPPNORTH_HUB,SPPNORTH_H,8.8372,-0.0406,-0.2629,9.1407
6/4/2026 2:00,6/4/2026 7:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,8.837,-0.0859,-0.2178,9.1407
6/4/2026 3:00,6/4/2026 8:00,SPP,AEC,SOUC,12.7756,0.3506,5.1624,7.2626
6/4/2026 3:00,6/4/2026 8:00,SPP,CSWS_HUB,CSWS_HUB_H,9.3515,0.1402,1.9487,7.2626
6/4/2026 3:00,6/4/2026 8:00,SPP,SPPNORTH_HUB,SPPNORTH_H,7.1077,-0.0563,-0.0986,7.2626
6/4/2026 3:00,6/4/2026 8:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,5.9287,-0.0938,-1.2401,7.2626
6/4/2026 4:00,6/4/2026 9:00,SPP,SPPNORTH_HUB,SPPNORTH_H,8.4966,-0.0818,-0.2878,8.8662
6/4/2026 4:00,6/4/2026 9:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,7,-0.1285,-1.7379,8.8664
6/4/2026 5:00,6/4/2026 10:00,SPP,SPPNORTH_HUB,SPPNORTH_H,11.3667,-0.0876,0.5344,10.9199
6/4/2026 5:00,6/4/2026 10:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,8.3206,-0.1158,-2.4835,10.9199
6/4/2026 6:00,6/4/2026 11:00,SPP,SPPNORTH_HUB,SPPNORTH_H,14.7026,-0.1316,-0.5726,15.4068
6/4/2026 6:00,6/4/2026 11:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,15.7531,-0.1493,0.4957,15.4067
6/4/2026 7:00,6/4/2026 12:00,SPP,SPPNORTH_HUB,SPPNORTH_H,19.8987,-0.1847,0.6374,19.446
6/4/2026 7:00,6/4/2026 12:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,17.4495,-0.1864,-1.8102,19.4461
6/4/2026 8:00,6/4/2026 13:00,SPP,SPPNORTH_HUB,SPPNORTH_H,25.3559,-0.1843,1.281,24.2592
6/4/2026 8:00,6/4/2026 13:00,SPP,SPPSOUTH_HUB,SPPSOUTH_H,21.7381,-0.2453,-2.2758,24.2592
6/4/2026 9:00,6/4/2026 14:00,SPP,SPPNORTH_HUB,SPPNORTH_H,23.2165,-0.1328,0.1826,23.1667
